Ordem;Família;Material;#;Stock inical;nº NE's;UN
570;PICH;CURVA 45º PPR 25;16;4;1;UN
571;PICH;CURVA 90º 32X40 PVC DIN;23;0;1;UN
572;PICH;CURVA 90º 110 PVC DIN;21;0;1;UN
573;PICH;CURVA 90º 32 PVC DIN;20;0;1;UN
574;PICH;CURVA 90º 40 PVC DIN;20;15;3;UN
575;PICH;CURVA 90º 50 PVC DIN;20;1;2;UN
576;PICH;CURVA 90º 63 PVC DIN;20;14;2;UN
577;PICH;CURVA 90º 63 PVC UNI;20;1;1;UN
578;PICH;CURVA 90º 75 PVC DIN;20;9;2;UN
579;PICH;CURVA 90º 90 PVC DIN;20;16;2;UN
580;ELE;CURVA PLANAS 110X50 EFAPEL;26;16;2;UN
581;ELE;CURVA PLANAS 32X16 EFAPEL;25;-2;3;UN
582;ELE;CURVA VD LIVRES DE HALOGÉNIOS CINZENTAS 16MM;44;10;1;UN
583;ELE;CURVA VD LIVRES DE HALOGÉNIOS CINZENTAS 20MM;44;0;1;UN
584;MAQ;CURVADORA HIDRAÚLICA DE TUBOS VKPSWG2 CAPACIDADE - 16 TON;57;0;0;UN
585;MAQ;DECAPADOR DE AR QUENTE 18V LXTDHG181ZJ, COM REGULAÇÃO E MALA MAKPAC. MAKITA;75;50;1;UN
586;MAQ;DECAPADOR DE AR QUENTE 18V LXTDHG181ZJ, COM REGULAÇÃO, MALA MAKPAC, 2 CARREGADOR 2 BATERIAS 18V-5A MAKITA;105;25;1;UN
587;MAQ;DECAPADOR DE AR QUENTE 2.000W, MOD. HG6531CK, INCLUINDO MALA MAKPAC TIPO2 _TIPO MAKITA;86;0;1;UN
588;DIV;DESPERDIÇIOS DE TECIDO, SACOS DE 1KG;36;11;2;UN
589;DIV;DESPERDIÇIOS EM PANO DE TECIDO, SACOS DE 1KG;44;0;1;UN
590;ELE;DIFERENCIAL 4P 63A;18;0;1;UN
591;PINT;DILUENTE 200_1LTS;17;0;1;UN
592;PINT;DILUENTE ADEQUADO A TINTA DE TRAFEGO (EMBALAGEM MINI BIDÃO 25LTS);65;0;0;UN
593;PINT;DILUENTE CELULOSO_ 5LTS;23;22;3;UN
594;PINT;DILUENTE SINTECTICO_5LTS;24;22;3;UN
595;PINT;DILUENTE TINTA DE PAVIMENTO_5LTS;32;1;1;UN
596;SER;DISCO CORTE SC41/355 C/ 355 X 2,5 X 25,4MM MÁQUINA DE ESQUADRIA FERRO;69;19;2;UN
597;SER;DISCO DE 230 X 6,4 REBARBAR;27;2;1;UN
598;DIV;DISCO DE CORTE 115 X 1MM_ TIPO PECOL PREMIUM COM CERTIFICAÇÃO DA ENTIDADE OSA;77;42;2;UN
599;DIV;DISCO DE CORTE 230X1,9MM_ TIPO PECOL PREMIUM COM CERTIFICAÇÃO DA ENTIDADE OSA;77;101;3;UN
600;DIV;DISCO DE CORTE 230X3,2MM_ TIPO PECOL PREMIUM COM CERTIFICAÇÃO DA ENTIDADE OSA;77;-2;1;UN
601;SER;DISCO DE CORTE ABRASIVO DE 230 X 6MM;36;25;2;UN
602;DIV;DISCO DE LAMELA GRÃO 120;24;69;3;UN
603;DIV;DISCO DE LAMELA GRÃO 60;23;46;3;UN
604;DIV;DISCO DE LAMELA GRÃO 80;23;50;3;UN
605;DIV;DISCO DE REBARBAR 115 X 6MM_ TIPO PECOL PREMIUM COM CERTIFICAÇÃO DA ENTIDADE OSA;80;6;1;UN
606;SER;DISCO DE REBARBAR METAL 125 X 22.23 X 6MM;41;152;3;UN
607;DIV;DISCO DIAMANTADOS 125_ TIPO BOSH X-LOCK UNIVERSAL;49;5;2;UN
608;DIV;DISCO DIAMANTADOS 230_ TIPO BOSH X-LOCK UNIVERSAL;49;4;3;UN
609;ELE;DISJUNTOR 1P 10A_ TIPO HAGGER;29;300;3;UN
610;ELE;DISJUNTOR 1P 16A_ TIPO HAGGER;29;267;3;UN
611;ELE;DISJUNTOR 1P 25A_ TIPO HAGGER;29;100;3;UN
612;ELE;DISJUNTOR 3P 32A;16;10;2;UN
613;ELE;DISJUNTOR 3P 63A;16;14;2;UN
614;ELE;DISJUNTOR 4P 32A;16;10;1;UN
615;ELE;DISJUNTOR 4P 40A_ TIPO HAGER;28;42;2;UN
616;ELE;DISJUNTOR 4P 63A;16;13;2;UN
617;FER;DOBRADIÇA ARTICULADA RETA C/AMORTECEDOR;39;88;3;UN
618;DIV;"DOBRADIÇA DE MOLA VAI-VÉM 3""";28;0;0;UN
619;DIV;DOBRADIÇA DE PIANO INOX 15MM (2MTS - UN);40;0;0;UN
620;DIV;DOBRADIÇA DE PIANO INOX 20MM (2MTS - UN);40;0;0;UN
621;DIV;DOBRADIÇA DE PIANO INOX 25MM (2MTS - UN);40;1;1;UN
622;FER;DOBRADIÇA LEME INOX 30 X 60;27;20;1;UN
623;FER;DOBRADIÇA LEME INOX 40 X 80;27;8;1;UN
624;DIV;"DOBRADIÇA LEME INOX DIREITA 2"" 1/2";34;56;3;UN
625;DIV;"DOBRADIÇA LEME INOX DIREITA 3""";30;56;4;UN
626;DIV;"DOBRADIÇA LEME INOX DIREITA 3"" 1/2";34;49;3;UN
627;DIV;"DOBRADIÇA LEME INOX DIREITA 4""";30;104;4;UN
628;DIV;"DOBRADIÇA LEME INOX ESQUERDA 2"" 1/2";35;54;3;UN
629;DIV;"DOBRADIÇA LEME INOX ESQUERDA 3""";31;34;2;UN
630;DIV;"DOBRADIÇA LEME INOX ESQUERDA 3"" 1/2";35;59;4;UN
631;DIV;"DOBRADIÇA LEME INOX ESQUERDA 4""";31;68;4;UN
632;DIV;DOBRADIÇA ZN  75X75 MM;22;23;1;UN
633;SER;ELETRODO P/ FERRO 2,5X300MM;27;155;1;UN
634;SER;ELETRODO P/ FERRO 2X300MM;25;64;1;UN
635;SER;ELETRODO P/ INOX 2,5X300MM;26;144;1;UN
636;SER;ELETRODO P/ INOX 2X300MM;24;279;1;UN
637;SER;ELETRODO P/ INOX 3,2X350MM;26;0;1;UN
638;PICH;EMBOQUE DE SANITA BRANCA 25 X 70;32;0;0;UN
639;PICH;EMBOQUE DE SANITA ENTRADA 25 SAÍDA 60;37;0;0;UN
640;PICH;EMBOQUE DE SANITA VIRGEM 60 X 40;32;0;0;UN
641;PICH;EMBOQUE DE SANITA VIRGEM 70 X 40;32;0;0;UN
642;PICH;EMBOQUE DE URINOL INTERIOR;26;32;2;UN
643;PICH;EMBOQUE GRANDE EXTERIOR DE SANITA;33;-1;2;UN
644;PICH;EMBOQUE INTERIOR DE SANITA;26;29;1;UN
645;PICH;EMBOQUE PEQUENO EXTERIOR DE SANITA;34;-1;1;UN
646;MFE;"ENCHADA DE 10"" C/ CABO TIPO BELLOTA";35;0;0;UN
647;DIV;"ENGATE RÁPIDO MANGUEIRA 1"" LATÃO";32;3;1;UN
648;DIV;"ENGATE RÁPIDO MANGUEIRA 3/4"" LATÃO";34;14;1;UN
649;FER;ESCADOTE DE TRABALHO DE 3 DEGRAUS MAIS PATAMAR, EM ALUMÍNIO, ROBUSTO_TIPO JORMAX;80;1;1;UN
650;FER;ESCADOTE DE TRABALHO DE 5 DEGRAUS MAIS PATAMAR, EM ALUMÍNIO, ROBUSTO_TIPO JORMAX;80;0;0;UN
651;FER;ESCADOTE DE TRABALHO DE 7 DEGRAUS MAIS PATAMAR, EM ALUMÍNIO, ROBUSTO_TIPO JORMAX;80;0;0;UN
652;FER;ESCADOTE DE TRABALHO DE 9 DEGRAUS MAIS PATAMAR, EM ALUMÍNIO, ROBUSTO_TIPO JORMAX;80;0;0;UN
653;MFE;ESCALA LONGA SEMI-RIGA EM INOX DE UMA FACE TIPO FACOM DELA.1056.1000 OU EXPERT;78;0;0;UN
654;FER;ESCOVA DE AÇO;13;2;1;UN
655;PINT;ESMALTE RAL 1003, AFINADO SOBRE BASE, DE SECAGEM NORMAL_LATA 0,75 OU 1LTS_TIPO CIN;82;2;1;UN
656;PINT;ESMALTE RAL 2008SR, AFINADO SOBRE BASE, DE SECAGEM NORMAL_LATA 0,75 OU 1LTS_TIPO CIN;84;2;1;UN
657;PINT;ESMALTE ANTICORRUSIVO 7042_ 0,75LTS;35;0;0;UN
658;PINT;ESMALTE ANTI-CORROSIVO CINZA 0,75LTS TIPO CINOFER;49;0;1;UN
659;PINT;ESMALTE ANTICORRUSIVO CINZENTO 7035 (FORJA)_4LTS;48;-3;1;UN
660;PINT;ESMALTE ANTICORRUSIVO CINZENTO 7040 (FORJA)_0,75LTS;51;3;1;UN
661;PINT;ESMALTE ANTICORRUSIVO CINZENTO 7043 (FORJA)_4LTS;48;0;0;UN
662;PINT;ESMALTE ANTI-CORROSIVO PRETO (FORJA) 0,75LTS TIPO CINOFER;57;12;1;UN
663;PINT;ESMALTE ANTICORRUSIVO PRETO (FORJA)_4LTS_TIPO BONDEX CORROSTOP;62;0;0;UN
664;PINT;ESMALTE ANTICORRUSIVO RAL 7030 (FORJA)_0,75LTS;46;0;0;UN
665;PINT;ESMALTE ANTICORRUSIVO COR CINZA CLARO 0,75LTS, TIPO CINOFER ;60;6;1;UN
666;PINT;ESMALTE ANTICORRUSIVO COR CINZA ESCURO 0,75LTS, TIPO CINOFER ;61;6;1;UN
667;PINT;ESMALTE AQUOSO RAL9010 AFINADO SOBRE BASE, DE SECAGEM NORMAL_LATA 0,75 OU 1LTS_TIPO CIN;87;9;1;UN
668;PINT;ESMALTE BÊGE RAL 1015, AFINADO SOBRE BASE, DE SECAGEM NORMAL _LATA 0,75 OU 1LTS_TIPO CIN;88;0;1;UN
669;PINT;ESMALTE RAL 8008, AFINADO SOBRE BASE, DE SECAGEM NORMAL _LATA 0,75 OU 1LTS_TIPO CIN;83;1;1;UN
670;PINT;ESMALTE BRANCO_4LTS_TIPO CIN;28;0;0;UN
671;PINT;ESMALTE PRETO RAL 9005, AFINADO SOBRE BASE, DE SECAGEM NORMAL_LATA 0,75 OU 1LTS_TIPO CIN;88;1;3;UN
672;PINT;ESMALTE PRETO RAL 9005SR, AFINADO SOBRE BASE, DE SECAGEM NORMAL_LATA 0,75 OU 1LTS_TIPO CIN;90;15;1;UN
673;PINT;ESMALTE RAL 2009 LARANJA, AFINADO SOBRE BASE, DE SECAGEM NORMAL_LATA 0,75 OU 1LTS_TIPO CIN;90;0;1;UN
674;PINT;ESMALTE RAL 3000 VERMELHO, AFINADO SOBRE BASE, DE SECAGEM NORMAL_LATA 0,75 OU 1LTS_TIPO CIN;91;10;1;UN
675;PINT;ESMALTE RAL 3001 VERMELHO, AFINADO SOBRE BASE, DE SECAGEM NORMAL_4LTS;69;1;1;UN
676;PINT;ESMALTE RAL 3020 VERMELHO VIVO, AFINADO SOBRE BASE, DE SECAGEM NORMAL_LATA 0,75 OU 1LTS_TIPO CIN;96;14;1;UN
677;PINT;ESMALTE RAL 5005 AZUL PORTO, AFINADO SOBRE BASE, DE SECAGEM NORMAL_LATA 0,75 OU 1LTS_TIPO CIN;93;2;1;UN
678;PINT;ESMALTE RAL 5010BR AZUL ESCURO, AFINADO SOBRE BASE, DE SECAGEM NORMAL_LATA 0,75 OU 1LTS_TIPO CIN;96;12;1;UN
679;PINT;ESMALTE RAL 6005 VERDE GARRAFA, AFINADO SOBRE BASE, DE SECAGEM NORMAL_LATA 0,75 OU 1LTS_TIPO CIN;96;0;1;UN
680;PINT;ESMALTE RAL 7047 AZUL, AFINADO SOBRE BASE, DE SECAGEM NORMAL_LATA 4LTS_TIPO CIN;79;23;1;UN
681;PINT;ESMALTE RAL 8011SR CASTANHO, AFINADO SOBRE BASE, _LATA 0,75 OU 1LTS_TIPO CIN;76;0;1;UN
682;PINT;ESMALTE RAL 8017 CASTANHO, AFINADO SOBRE BASE, DE SECAGEM NORMAL_LATA 0,75 OU 1LTS_TIPO CIN;91;2;1;UN
683;PINT;ESMALTE SINTECTICO BRANCO 0,75LTS, AFINADO SOBRE BASE, DE SECAGEM NORMAL_LATA 0,75 OU 1LTS_TIPO CIN;99;27;4;UN
684;PINT;ESMALTE SINTECTICO RAL1013SR 0,75LTS, TIPO SINTECIN;51;0;1;UN
685;PINT;ESMALTE SINTECTICO RAL1015SR 0,75LTS, TIPO SINTECIN;51;1;1;UN
686;PINT;ESMALTE SINTECTICO RAL1018 AFINADO SOBRE BASE, DE SECAGEM NORMAL_LATA 0,75 OU 1LTS_TIPO CIN;91;1;1;UN
687;PINT;ESMALTE SINTECTICO RAL2009SR 0,75LTS, TIPO SINTECIN;51;1;1;UN
688;PINT;ESMALTE SINTECTICO RAL3000SR 0,75LTS, TIPO SINTECIN;51;1;1;UN
689;PINT;ESMALTE SINTECTICO RAL3020SR 0,75LTS, TIPO SINTECIN;51;1;1;UN
690;PINT;ESMALTE SINTECTICO RAL6018 AFINADO SOBRE BASE, DE SECAGEM NORMAL_LATA 0,75 OU 1LTS_TIPO CIN;91;0;1;UN
691;PINT;ESMALTE SINTECTICO RAL7035 AFINADO SOBRE BASE, DE SECAGEM NORMAL_LATA 0,75 OU 1LTS_TIPO CIN;91;5;1;UN
692;PINT;ESMALTE SINTECTICO RAL7040 AFINADO SOBRE BASE, DE SECAGEM NORMAL_LATA 0,75 OU 1LTS_TIPO CIN;91;5;1;UN
693;PINT;ESMALTE SINTECTICO RAL8001 AFINADO SOBRE BASE, DE SECAGEM NORMAL_LATA 0,75 OU 1LTS_TIPO CIN;91;1;1;UN
694;PINT;ESMALTE SINTECTICO RAL9010 AFINADO SOBRE BASE, DE SECAGEM NORMAL_LATA 0,75 OU 1LTS_TIPO CIN;91;4;1;UN
695;FER;ESPATULA DE EMASSAR 280X130 MM;30;2;1;UN
696;FER;ESPATULA INOX 100MM;19;0;1;UN
697;FER;ESPATULA INOX 125MM;19;4;1;UN
698;FER;ESPATULA INOX 40MM;18;2;1;UN
699;FER;ESPATULA INOX 50MM;18;4;1;UN
700;FER;ESPATULA INOX 60MM;18;2;1;UN
701;FER;ESPATULA INOX 80MM;18;0;1;UN
702;SER;ESPELHO DA MASCARA DE SOLDAR;28;73;1;UN
703;PICH;ESPELHO DE TORNEIRA INOX 6CM DIÂMETRO;37;2;1;UN
704;ELE;ESPELHO RJ45 BRANCA_TIPO EFAPEL SERIE 7000;42;5;1;UN
705;ELE;ESPELHO SIMPLES BRANCA_TIPO EFAPEL SERIE 7000;45;732;3;UN
706;ELE;ESPELHO SIMPLES BRANCA_TIPO EFAPEL SERIE 9000;45;37;3;UN
707;DIV;ESPONJA DE LIMPEZA;18;57;1;UN
708;DIV;ESPUMA DE POLIURETANO;21;7;4;UN
709;DIV;ESPUMA DE POLIURETANO PISTOLÁVEL;32;0;0;UN
710;MFE;ESQUADRO DIREITO EDE ESQUADRIA 300MM TIPO FACOM DELA.1051.300 OU EXPERT;71;0;0;UN
711;FER;ESTICADOR GALVANIZADOS/ZINCADOS M10;35;118;2;UN
712;FER;ESTICADOR GALVANIZADOS/ZINCADOS M12;35;1;1;UN
713;FER;ESTICADOR GALVANIZADOS/ZINCADOS M14;35;5;1;UN
714;FER;ESTICADOR GALVANIZADOS/ZINCADOS M6;34;101;2;UN
715;FER;ESTICADOR GALVANIZADOS/ZINCADOS M8;34;5;1;UN
716;PICH;EXCÊNTRICO DE SANITA 3CM;24;-5;1;UN
717;MFE;EXTENSÃO DE 4 TOMADAS (2P+T) COM 25M;36;5;1;UN
718;ELE;EXTENSÃO TRIPLA COM INTERRUPTOR 3M;34;0;0;UN
719;ELE;EXTENSÃO TRIPLA COM INTERRUPTOR 5M;34;0;0;UN
720;FAR;FATO IMPERMEÁVEL TAM - L;24;0;0;UN
721;FAR;FATO IMPERMEÁVEL TAM - XL;25;0;0;UN
722;FER;FECHADURA 720 TIPO YALE 100MM DE CAIXA DIREITA;46;0;1;UN
723;FER;FECHADURA 720 TIPO YALE 100MM DE CAIXA ESQUERDA;47;0;1;UN
724;FER;FECHADURA 720 TIPO YALE 120MM DE CAIXA DIREITA;46;0;0;UN
725;FER;FECHADURA 720 TIPO YALE 120MM DE CAIXA ESQUERDA;47;0;1;UN
726;FER;FECHADURA 725 INOX 50MM DE ENTRADA C/ CANHÃO;44;25;3;UN
727;FER;FECHADURA 725 INOX 55MM DE ENTRADA C/ CANHÃO;44;16;3;UN
728;FER;FECHADURA 725 INOX 60MM DE ENTRADA C/ CANHÃO;44;21;4;UN
729;FER;FECHADURA ANDORINHA 713 DIREITA 10D;35;0;1;UN
730;FER;FECHADURA ANDORINHA 713 DIREITA 9D;34;4;1;UN
731;FER;FECHADURA ANDORINHA 713 ESQUERDA 10E;36;8;1;UN
732;FER;FECHADURA ANDORINHA 713 ESQUERDA 9E;35;4;1;UN
733;FER;FECHADURA CAIXA DE CORREIO;26;10;1;UN
734;FER;"FECHADURA DE ARMARIO REGULAVEL REF.1904_ TIPO TECOCIL  (ANEXO ""ARTIGO 2.18_LOTE2"")";82;42;1;UN
735;FER;FECHADURA DE CAIXA DE CORREIO;29;120;2;UN
736;FER;FECHADURA DE EMBUTIR INOX 50MM ENTRADA CHAVE NORMAL;51;37;3;UN
737;FER;FECHADURA DE EMBUTIR INOX 55MM ENTRADA CHAVE NORMAL;51;10;3;UN
738;FER;FECHADURA DE EMBUTIR INOX 60MM ENTRADA CHAVE NORMAL;51;12;3;UN
739;FER;FECHADURA ELÉTRICA DE BOTÃO _ TIPO DORCAS;41;0;1;UN
740;FER;FECHADURA TUBULAR;17;0;2;UN
741;FER;FECHADURA/CANHÃO P/ARMÁRIOS METÁLICOS 15MM REFª ÁGUIA;53;13;2;UN
742;FER;FECHADURA/CANHÃO P/ARMÁRIOS METÁLICOS 20MM REFª ÁGUIA;53;14;2;UN
743;FER;FECHADURA/CANHÃO P/ARMÁRIOS METÁLICOS 25MM REFª ÁGUIA;53;16;2;UN
744;FER;FECHADURA/CANHÃO P/ARMÁRIOS METÁLICOS 30MM REFª ÁGUIA;53;15;2;UN
745;FER;FECHO 70X20;11;0;0;UN
746;FER;FECHO DE COLATRA;16;7;1;UN
747;FER;FECHO LIVRE/OCUPADO INOX C/ BATENTE;35;0;1;UN
748;SER;FERRO H 100 X 100 X 6 X 10MM;28;72;1;UN
749;SER;FERRO QUADRADDO DE 10MM;23;42;1;UN
750;SER;FERROLHO 100MM SERRALHEIRO;26;13;1;UN
751;ELE;FICHA FEMEA DE BORRACHA 16A;27;33;2;UN
752;ELE;FICHA INDUSTRIAL TIPO CEE FÊMEA 3P+T+N 125A;43;5;2;UN
753;ELE;FICHA INDUSTRIAL TIPO CEE FÊMEA 3P+T+N 32A;42;0;2;UN
754;ELE;FICHA INDUSTRIAL TIPO CEE FÊMEA 3P+T+N 63A;42;26;2;UN
755;ELE;FICHA INDUSTRIAL TIPO CEE MACHO 3P+T+N 125A;43;3;2;UN
756;ELE;FICHA INDUSTRIAL TIPO CEE MACHO 3P+T+N 32A;42;4;2;UN
757;ELE;FICHA INDUSTRIAL TIPO CEE MACHO 3P+T+N 63A;42;30;2;UN
758;ELE;FICHA MACHO BRANCA C/TERRA;26;0;1;UN
759;ELE;FICHA MACHO DE BORRACHA 16A;27;6;2;UN
760;ELE;FICHA RJ45 PARA CABO CAT6;25;234;2;UN
761;PICH;FIO DE ROSCA 160M_TIPO TANGIT;29;22;3;UN
762;ELE;FIO FV VERDE/AMARELO 25MM2;26;70;1;M
763;ELE;FIO V 1,5MM PRETO;17;1200;2;M
764;ELE;FIO V 1,5MM2 AZUL;17;1200;2;M
765;ELE;FIO V 1,5MM2 BRANCA;19;100;1;M
766;ELE;FIO V 1,5MM2 CASTANHO;21;1200;2;M
767;ELE;FIO V 1,5MM2 CINZENTO;21;1200;3;M
768;ELE;FIO V 1,5MM2 VERDE/AMARELO;26;1300;3;M
769;ELE;FIO V 16MM2 VERDE/AMARELO;25;50;1;M
770;ELE;FIO V 2,5MM2 AZUL;17;1199;2;M
771;ELE;FIO V 2,5MM2 CASTANHO;21;1480;3;M
772;ELE;FIO V 2,5MM2 CINZENTO;21;1400;3;M
773;ELE;FIO V 2,5MM2 PRETO;18;1199;3;M
774;ELE;FIO V 2,5MM2 VERDE/AMARELO;26;1200;3;M
775;ELE;FIO V 6MM2 AZUL;15;50;1;M
776;ELE;FIO V 6MM2 CASTANHO;19;50;1;M
777;ELE;FIO V 6MM2 CINZENTO;19;50;1;M
778;ELE;FIO V 6MM2 PRETO;16;50;1;M
779;ELE;FIO V 6MM2 VERDE/AMARELO;24;20;1;M
780;ELE;FITA DE PAPEL 30MM;18;94;3;UN
781;ELE;FITA DE PAPEL 50MM;18;127;3;UN
782;ELE;FITA ESPIRAL PRETA;18;0;0;UN
783;ELE;FITA ESPIRAL TRANSPARENTE;25;98;1;UN
784;FER;FITA INOX BANDIT;16;1;1;UN
785;ELE;FITA ISOLADORA AZUL;19;135;2;UN
786;ELE;FITA ISOLADORA BRANCA;21;89;1;UN
787;ELE;FITA ISOLADORA CASTANHA;23;89;2;UN
788;ELE;FITA ISOLADORA CINZENTA;23;85;2;UN
789;ELE;FITA ISOLADORA DE BORRACHA 19MM X 20M;37;22;1;UN
790;ELE;FITA ISOLADORA PRETA;20;46;2;UN
791;ELE;FITA ISOLADORA VERDE/AMARELA;28;143;2;UN
792;ELE;FITA ISOLADORA VERMELHA;23;95;1;UN
793;DIV;FITA METRICA 3M;15;4;1;UN
794;DIV;FITA METRICA 5M;15;8;1;UN
795;DIV;FITA METRICA 8M;15;3;1;UN
796;MFE;FITA MÉTRICA CAIXA GRIP 3MTTIPO FACOM 897A.319 OU EXPERT;56;0;0;UN
797;MFE;FITA MÉTRICA CAIXA GRIP 5MT TIPO FACOM 897A.528 OU EXPERT;57;0;0;UN
798;MFE;FITA METRICA DE 3 METROS STANLEY;32;0;0;UN
799;MFE;FITA METRICA DE 5 METROS STANLEY;32;0;0;UN
800;MFE;FITA METRICA DE 8 METROS STANLEY;32;0;0;UN
801;DIV;FITA PRETA DE 48MM POR 50M DE COMPRIMENTO _AMERICANA;52;2;1;UN
802;DIV;FITA PRETA DE 48MM POR 50M DE COMPRIMENTO _GAFER;48;15;2;UN
803;DIV;FITA SINALIZADORA VERMELHA/BRANCA, C/250MTS, 8CM LARGURA, ESP ACIMA DOS 100MICROS;81;6;2;UN
804;FER;FITA WIKUS M42 3100X27 5/82 REF:528 VARIO M42;45;10;3;UN
805;ARR;FIXAÇÃO DE GRELHAS ABS;22;188;1;UN
806;PICH;FLUXOMETRO DE URINOL 1/2 X 1/2;30;12;2;UN
807;PICH;FLUXOMETRO TEMPORIZADO DE CHUVEIRO ENTRADA / SAÍDA EXTERIOR 1/2;63;0;2;UN
808;DIV;FOLHA DE LIXA DE ÁGUA C/ GRÃO Nº 150;36;23;1;UN
809;DIV;FOLHA DE LIXA DE ÁGUA C/ GRÃO Nº 180;36;46;1;UN
810;DIV;FOLHA DE LIXA DE ÁGUA C/ GRÃO Nº 220;36;40;1;UN
811;DIV;FOLHA DE LIXA P/ MADEIRA 100;28;204;3;UN
812;DIV;FOLHA DE LIXA P/ MADEIRA 120;28;164;3;UN
813;DIV;FOLHA DE LIXA P/ MADEIRA 150;28;171;3;UN
814;DIV;FOLHA DE LIXA P/ MADEIRA 180;28;229;3;UN
815;DIV;FOLHA DE LIXA P/ MADEIRA 220;28;195;2;UN
816;DIV;FOLHA DE LIXA P/ MADEIRA 60;27;107;3;UN
817;DIV;FOLHA DE LIXA P/ MADEIRA 80;27;136;3;UN
818;SER;FOLHA DE SERRA PARA CORTAR FERRO (RECARGAS)_TIPO BAHCO;54;218;3;UN
819;PICH;FORQUILHA 32 PVC DIN;20;13;1;UN
820;PICH;FORQUILHA 40 PVC DIN;20;21;1;UN
821;PICH;FORQUILHA 50 PVC DIN;20;13;1;UN
822;PICH;FORQUILHA 75 PVC DIN;20;19;1;UN
823;PICH;FORQUILHA 90 PVC DIN;20;2;1;UN
824;MFE;"FORQUILHA DE FERRO COM CABO DE MADEIRA TIPO BELLOTA _ ANEXO ""LOTE2_1.106_FORQUILHA""";83;5;1;UN
825;ELE;FUSIVEL 1,6A 5 X 20MM;21;600;2;UN
826;ELE;FUSIVEL DE FACA NH1 125A;24;68;2;UN
827;ELE;FUSIVEL DE FACA NH1 80A;23;5;1;UN
828;ELE;FUSIVEL G10A 10X38;18;400;1;UN
829;ELE;FUSIVEL G16A 10X38;18;0;1;UN
830;ELE;FUSIVEL G32A 14X51;18;40;2;UN
831;ELE;FUSIVEL G32A 22X58;18;0;1;UN
832;ELE;FUSIVEL G50A 14X51;18;46;1;UN
833;ELE;FUSIVEL G50A 22X58;18;160;1;UN
834;ELE;FUSIVEL G6A 10X38;17;296;1;UN
835;ELE;FUSIVEL G80A 14X51;18;10;1;UN
836;ELE;FUSIVEL G80A 22X58;18;343;2;UN
837;MFE;GARAMPO 100;11;0;0;UN
838;MFE;GARAMPO 150;11;0;0;UN
839;MFE;GARAMPO 80;10;0;0;UN
840;MFE;GARAMPO APERTO RÁPIDO;21;0;0;UN
841;PICH;GIRÂNDULA 125 INOX;18;2;1;UN
842;ARR;GRELHA ABS PRETA 125X1000MM;27;0;0;UN
843;ELE;ID 2X25A 30MA;13;18;3;UN
844;ELE;ID 2X40A 30MA;13;25;3;UN
845;ELE;ID 2X63A 30MA;13;21;1;UN
846;ELE;ID 4X25A 30MA;13;0;1;UN
847;ELE;ID 4X32A 30MA;13;3;1;UN
848;ELE;ID 4X40A 30MA;13;0;2;UN
849;ELE;ID 4X63A 30MA;13;21;1;UN
850;ELE;IGNITOR 1000W;13;3;1;UN
851;ELE;IGNITOR 2000W;13;0;1;UN
852;ELE;IGNITOR 70/400W;15;378;2;UN
853;ELE;INTERRUPTOR EXTERIOR IP65;25;8;3;UN
854;ELE;INTERRUPTOR INTERIOR _ TIPO EFAPEL;34;32;3;UN
855;ELE;INVERSOR INTERIOR_ TIPO EFAPEL;30;6;2;UN
856;EPI'S;JOELHEIRA GEL_PAR;17;0;0;UN
857;PICH;JOELHO 15 BICONE;16;29;2;UN
858;PICH;JOELHO 15 X 1/2 BICONE MACHO;28;46;2;UN
859;PICH;JOELHO 15X1/2 BICONE FEMEA;26;4;1;UN
860;PICH;JOELHO 15X1/2 C/PATÊ BICONE;27;0;1;UN
861;PICH;JOELHO 15X3/4 BICONE FEMEA;26;11;1;UN
862;PICH;JOELHO 15X3/4 BICONE MACHO;26;24;1;UN
863;PICH;JOELHO 22 BICONE;16;864;1;UN
864;PICH;JOELHO 22X1/2 BICONE FEMEA;26;10;1;UN
865;PICH;JOELHO 22X15 BICONE;19;20;1;UN
866;PICH;JOELHO 22X3/4 BICONE FEMEA;26;21;1;UN
867;PICH;JOELHO 22X3/4 BICONE MACHO;26;4;1;UN
868;PICH;JOELHO BICONE 15X22;19;4;1;UN
869;PICH;JOELHO DE APERTO RÁPIDO 32X1/2 C/PATER FEMEA;44;0;1;UN
870;PICH;"JOELHO DE APERTO RÁPIDO C/ PATER 32X1""_PLÁSTICO FEMEA";53;2;1;UN
871;PICH;JOELHO DE APERTO RÁPIDO DE 32_PLÁSTICO;38;16;2;UN
872;PICH;"JOELHO LATÃO 1""";15;35;2;UN
873;PICH;JOELHO LATÃO 1/2 X 3/4;22;8;1;UN
874;PICH;"JOELHO LATÃO 1/2""";17;9;2;UN
875;PICH;"JOELHO LATÃO 3/4""";17;23;2;UN
876;PICH;"JOELHO LATÃO M/F 1/2""";21;19;2;UN
877;PICH;"JOELHO LATÃO M/F 3/4""";21;9;2;UN
878;PICH;"JOELHO LATÃO MACHO 32 X 1"" APERTO RÁPIDO";40;20;1;UN
879;PICH;JOELHO LATÃO SIMPLES 32 APERTO RÁPIDO;37;9;1;UN
880;PICH;"JOELHO MACHO 32 X 1"" APERTO RÁPIDO";34;0;1;UN
881;PICH;JOELHO PPR 20;13;24;1;UN
882;PICH;JOELHO PPR 20X1/2 FEMEA;23;0;1;UN
