Ordem;Família;Material;#;Stock inical;nº NE's;UN
168;DIV;BIT PONTEIRA CURTA PH2 X 25MM;29;7;1;UN
169;DIV;BIT PONTEIRA CURTA PH3 X 25MM;29;13;1;UN
170;DIV;BIT PONTEIRA CURTA PZ1 X 25MM;29;3;1;UN
171;DIV;BIT PONTEIRA CURTA PZ2 X 25MM;29;4;1;UN
172;DIV;BIT PONTEIRA CURTA PZ3 X 25MM;29;0;1;UN
173;DIV;BIT PONTEIRA CURTA TORX 10 X 25MM;33;3;1;UN
174;DIV;BIT PONTEIRA CURTA TORX 15 X 25MM;33;3;1;UN
175;DIV;BIT PONTEIRA CURTA TORX 20 X 25MM;33;3;1;UN
176;DIV;BIT PONTEIRA CURTA TORX 25 X 25MM;33;3;1;UN
177;DIV;BIT PONTEIRA CURTA TORX 8 X 25MM;32;3;1;UN
178;FAR;BLUSÃO BICOLOR AV TAM - L;25;0;0;UN
179;FAR;BLUSÃO BICOLOR AV TAM - M;25;0;0;UN
180;FAR;BLUSÃO BICOLOR AV TAM - XL;26;0;0;UN
181;FAR;BLUSÃO IGNIFUGO AV MULTINORMAS TAM - 44/46;42;0;0;UN
182;FAR;BLUSÃO IGNIFUGO AV MULTINORMAS TAM - 48/50;42;0;0;UN
183;FAR;BLUSÃO IGNIFUGO AV MULTINORMAS TAM - 52/54;42;0;1;UN
184;FAR;BLUSÃO IGNIFUGO AV MULTINORMAS TAM - 56/58;42;0;0;UN
185;DIV;BOBINE DE ELASTICO PRETO E BRANCA_ COBERTURA DOS PALCOS (100MTS);64;246;1;UN
186;SER;BOBINE DE FIO DE SOLDAR 0.8 15KG;32;10;1;UN
187;SER;BOBINE DE FIO DE SOLDAR 0.8 5KG;31;2;1;UN
188;SER;BOBINE DE FIO DE SOLDAR 1.2 15KG;32;10;1;UN
189;SER;BOBINE DE FIO DE SOLDAR 1.2 5KG;31;4;1;UN
190;MFE;BOLSA P/ FERRAMENTAS EM TECIDO TIPO FACOM BS.T20 OU EXPERT;58;1;1;UN
191;FAR;BONE 5 PAINEIS 100% ALGODÃO , COM GRAVAÇÃO;42;0;1;UN
192;ELE;"BOOSTER 12/24V COM O MÍNIMO DE 900CA_ TIPO SCHUMACHER       
";61;0;0;UN
193;DIV;BORRACHA;8;0;0;UN
194;FAR;BOTA DE PROTEÇÃO C/ BIQUEIRA E PALMILHA DE CARBONO S3 TAM - 39;62;0;1;UN
195;FAR;BOTA DE PROTEÇÃO C/ BIQUEIRA E PALMILHA DE CARBONO S3 TAM - 40;62;0;1;UN
196;FAR;BOTA DE PROTEÇÃO C/ BIQUEIRA E PALMILHA DE CARBONO S3 TAM - 41;62;0;1;UN
